Source path,Class name,Method name,Smell type,Severity,Evidence
src/test/java/org/openrewrite/codemods/ApplyCodemodReactMUITest.java,org.openrewrite.codemods.ApplyCodemodReactMUITest,autocompleteRenameCloseicon,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0"
src/test/java/org/openrewrite/codemods/ApplyCodemodTest.java,org.openrewrite.codemods.ApplyCodemodTest,formatStatement,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,configFile,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,formatStatement,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,multiple,FEATURE_ENVY,CRITICAL,"foreign accesses=47, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,reactJsx,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,reactTsx,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,svelte,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,unicorn,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/test/java/org/openrewrite/codemods/ESLintTest.java,org.openrewrite.codemods.ESLintTest,vue,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=0"
src/test/java/org/openrewrite/codemods/NextJsCodemodsTest.java,org.openrewrite.codemods.NextJsCodemodsTest,builtInNextFont,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/org/openrewrite/codemods/PutoutTest.java,org.openrewrite.codemods.PutoutTest,jsx,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/org/openrewrite/codemods/PutoutTest.java,org.openrewrite.codemods.PutoutTest,noRules,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/org/openrewrite/codemods/PutoutTest.java,org.openrewrite.codemods.PutoutTest,printer,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
src/test/java/org/openrewrite/codemods/PutoutTest.java,org.openrewrite.codemods.PutoutTest,withRules,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=0"
src/test/java/org/openrewrite/codemods/ReactI18NextTest.java,org.openrewrite.codemods.ReactI18NextTest,internationalizeReactComponent,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=0"
src/test/java/org/openrewrite/codemods/ReactI18NextTest.java,org.openrewrite.codemods.ReactI18NextTest,internationalizeWithCustomTranslationPath,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=0"
src/test/java/org/openrewrite/codemods/ReactI18NextTest.java,org.openrewrite.codemods.ReactI18NextTest,internationalizeWithTranslationRoot,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=0"
src/test/java/org/openrewrite/codemods/UI5Test.java,org.openrewrite.codemods.UI5Test,noRules,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=0"
src/main/java/org/openrewrite/codemods/ApplyCodemod.java,org.openrewrite.codemods.ApplyCodemod,getNpmCommand,FEATURE_ENVY,HIGH,"foreign accesses=20, own accesses=6"
src/main/java/org/openrewrite/codemods/ESLint.java,org.openrewrite.codemods.ESLint,createAfter,FEATURE_ENVY,CRITICAL,"foreign accesses=113, own accesses=5"
src/main/java/org/openrewrite/codemods/ESLint.java,org.openrewrite.codemods.ESLint,getInitialValue,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=2"
src/main/java/org/openrewrite/codemods/ESLint.java,org.openrewrite.codemods.ESLint,processOutput,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=0"
src/main/java/org/openrewrite/codemods/NodeBasedRecipe.java,org.openrewrite.codemods.NodeBasedRecipe,createAfter,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0"
src/main/java/org/openrewrite/codemods/NodeBasedRecipe.java,org.openrewrite.codemods.NodeBasedRecipe,createDirectory,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/main/java/org/openrewrite/codemods/NodeBasedRecipe.java,org.openrewrite.codemods.NodeBasedRecipe,generate,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=4"
src/main/java/org/openrewrite/codemods/NodeBasedRecipe.java,org.openrewrite.codemods.NodeBasedRecipe,runNode,FEATURE_ENVY,CRITICAL,"foreign accesses=56, own accesses=3"
src/main/java/org/openrewrite/codemods/NodeBasedRecipe.java,org.openrewrite.codemods.NodeBasedRecipe,visit,FEATURE_ENVY,HIGH,"foreign accesses=18, own accesses=1"
src/main/java/org/openrewrite/codemods/Putout.java,org.openrewrite.codemods.Putout,runNode,FEATURE_ENVY,CRITICAL,"foreign accesses=55, own accesses=1"
src/main/java/org/openrewrite/codemods/ReactI18Next.java,org.openrewrite.codemods.ReactI18Next,createDefaultTranslationsFile,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=0"
src/main/java/org/openrewrite/codemods/ReactI18Next.java,org.openrewrite.codemods.ReactI18Next,generate,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=3"
src/main/java/org/openrewrite/codemods/RecipeResources.java,org.openrewrite.codemods.RecipeResources,copyRecursively,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/main/java/org/openrewrite/codemods/RecipeResources.java,org.openrewrite.codemods.RecipeResources,extractResources,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=3"
src/main/java/org/openrewrite/codemods/RecipeResources.java,org.openrewrite.codemods.RecipeResources,from,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
src/main/java/org/openrewrite/codemods/RecipeResources.java,org.openrewrite.codemods.RecipeResources,init,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=3"
src/main/java/org/openrewrite/codemods/RecipeResources.java,org.openrewrite.codemods.RecipeResources,recreateBinSymlinks,FEATURE_ENVY,CRITICAL,"foreign accesses=35, own accesses=0"
src/main/java/org/openrewrite/codemods/UI5.java,org.openrewrite.codemods.UI5,createAfter,FEATURE_ENVY,CRITICAL,"foreign accesses=96, own accesses=3"
src/main/java/org/openrewrite/codemods/UI5.java,org.openrewrite.codemods.UI5,processOutput,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0"
